ID,Class,PC1,PC2,PC3,PC4,PC5
190,Low,0.668994,-0.217515,0.227246,0.118775,-1.440184
191,High,-0.616531,-0.006379,0.487191,1.330811,0.993333
192,High,-2.722124,0.979513,1.311673,1.305760,0.829066
193,Medium,0.364818,0.866320,0.069494,0.586214,0.790117
194,Low,0.637999,0.439941,0.463380,0.012176,1.316221
195,Low,0.522422,-1.186985,-0.902819,-0.773995,0.597625
196,Low,0.723105,-0.602840,-1.334407,-1.020240,0.392151
197,Medium,0.823446,0.438768,1.161857,0.943322,-0.136776
198,Low,0.987880,0.037608,0.390952,0.287735,-1.325028
199,Medium,0.697888,0.193615,0.916795,0.234969,0.975834
200,Medium,-0.951178,1.275105,1.010057,1.295100,0.661413
201,Medium,0.964240,0.475717,0.723324,0.292532,1.131633
202,Low,0.306504,-1.580521,-1.412787,-0.716432,-1.021897
203,High,-2.326538,0.887434,1.153920,1.207156,1.240015
204,Low,0.907502,0.150215,0.393929,0.213649,-1.423249
205,Medium,-1.653567,0.806498,1.005097,1.266319,0.545692
206,Low,0.127886,0.166050,0.803689,0.874033,-3.291147
207,Medium,-0.406918,0.557826,0.675701,0.718930,-2.498039
208,Medium,0.975272,0.272205,-0.003926,-0.053383,-0.395313
209,Low,0.579685,0.467506,0.478262,0.386340,-1.014559
210,Low,0.501408,-2.656732,-1.246105,-1.839990,-0.486760
211,Low,0.774589,-0.099631,0.679670,0.667230,-0.806262
212,Low,1.000489,-1.846201,-2.395022,-1.899153,-0.624496
213,Low,-3.245370,-1.220415,-0.614102,-1.596410,0.595932
214,Low,-0.001875,-1.273786,-1.038745,-1.858112,-0.933272
215,Medium,-1.574240,0.712073,1.209481,1.284973,0.515774
216,Low,0.909603,-0.466188,0.529854,-0.112013,-1.871455
217,Medium,-0.561370,0.744330,1.615273,1.076039,0.162968
218,High,-0.138465,1.470406,1.242222,1.311623,1.493471
219,Medium,0.670570,0.828785,0.058580,0.689082,-0.362572
220,Medium,0.388459,0.719697,0.665779,0.717864,1.993045
221,Low,1.221660,0.068106,-0.696451,-1.330978,0.372394
222,Low,1.178056,0.231150,0.156803,0.292532,-0.735136
223,Medium,-0.071220,0.357832,0.269909,-0.642878,1.292513
224,Low,-0.061239,-2.789279,-1.348297,-1.608669,-0.535871
225,Low,0.139444,0.035262,0.113148,-0.227673,0.489243
226,Low,-0.193626,-0.370003,0.425678,-0.036327,0.028619
227,Low,0.072725,-1.222761,-1.300674,-1.534050,0.033135
228,Low,0.301776,0.259888,-1.678685,-1.035697,0.436746
229,Low,-0.162631,-0.806939,0.376070,0.200324,-0.604739
230,Medium,-1.232764,0.957813,-0.129930,-0.729757,0.095229
231,Medium,0.248716,1.053997,0.405834,0.821266,-1.110522
232,Low,0.318587,-2.890742,-0.477184,-1.168946,-1.039961
233,High,-0.010805,0.937872,0.960450,0.447635,1.327511
234,Low,0.926940,-0.515453,0.912826,-0.063510,0.806487
235,Low,0.751999,0.800047,0.718364,0.834591,-0.057748
236,Medium,1.177531,0.859869,0.659826,0.892154,-0.170646
237,Low,0.817668,-0.256810,-1.836438,-0.873133,0.984866
238,Medium,1.238471,0.170155,-0.003926,-0.430212,-1.204227
239,Medium,0.512966,0.792422,0.756066,0.854845,1.812408
240,Low,0.099518,0.435836,0.054611,0.323446,0.641656
241,Low,0.243463,0.520877,0.107196,0.060678,0.821728
242,Low,0.304403,-1.100184,-1.260988,-0.738818,0.103697
243,Low,0.551842,-0.637443,0.203435,0.073470,-1.588645
244,Medium,-0.001875,1.297391,-0.439482,-0.216480,-0.732313
245,Medium,-0.265074,1.011184,1.157889,1.047790,-0.075811
246,Low,0.403694,-0.834504,-1.304642,-1.009580,-0.445552
247,Low,0.732561,-0.246253,-1.129031,-0.764401,0.658590
248,Low,0.557621,-1.130096,-0.088259,-0.449400,-0.113632
249,Low,-0.858191,0.358419,-0.705380,-0.758006,0.870839
250,Medium,-0.768357,0.872185,0.595336,0.570757,0.900192
251,Medium,0.428385,1.230531,1.194598,0.982764,0.500533
